Matrix Size,Custom Determinant Time (s),NumPy Determinant Time (s),Determinant Error,Custom Linear Time (s),NumPy Linear Time (s),Linear Solution L2 Error,Custom Eigen Time (s),NumPy Eigen Time (s),Eigenvalue Error,Eigenvector L2 Error,Custom Dominant Eigenvalue,NumPy Dominant Eigenvalue,RHS
11,2.2899999748915434e-05,1.7300015315413475e-05,1.3828277587890625e-05,4.5599997974932194e-05,1.71000137925148e-05,1.4183983447567238e-14,0.000437700015027076,7.71000050008297e-05,7.815970093361102e-14,3.7238012298709097e-16,55.14580431199012,55.1458043119902,"[7, 1, 4, 3, 4, 5, 5, 8, 1, 2, 2]"
12,3.619998460635543e-05,3.929997910745442e-05,9.918212890625e-05,6.120000034570694e-05,3.200001083314419e-05,1.8549605051602547e-15,0.0005617999995592982,0.00011389999417588115,3.552713678800501e-14,6.243462346678937e-16,54.93856356984665,54.938563569846615,"[7, 9, 9, 6, 5, 0, 7, 5, 2, 7, 3, 5]"
13,3.91000066883862e-05,4.709998029284179e-05,0.000732421875,7.609999738633633e-05,3.060000017285347e-05,1.2410475080896489e-14,0.0007229999755509198,0.00011490000179037452,2.842170943040401e-14,4.815412394636862e-16,59.587907804901036,59.587907804901064,"[6, 5, 9, 4, 0, 1, 3, 9, 9, 0, 4, 9, 0]"
14,5.09000092279166e-05,2.8499984182417393e-05,0.0166015625,9.220000356435776e-05,2.2199994418770075e-05,5.00190300623727e-15,0.0007868999964557588,9.640000644139946e-05,8.526512829121202e-14,6.491482664476023e-16,65.69765507202757,65.69765507202766,"[9, 4, 6, 4, 7, 4, 3, 6, 7, 1, 3, 6, 9, 5]"
15,6.10999995842576e-05,2.2899999748915434e-05,0.248046875,0.00011029999586753547,2.2799998987466097e-05,2.887075151806472e-13,0.0009267999848816544,9.769998723641038e-05,7.105427357601002e-14,2.9504581591051765e-16,66.75754415975962,66.75754415975969,"[1, 1, 1, 6, 1, 5, 2, 8, 0, 9, 8, 8, 5, 1, 6]"
16,7.03000114299357e-05,2.8099981136620045e-05,0.5126953125,0.0001750000228639692,2.5100016500800848e-05,4.980097071247531e-11,0.0011894999770447612,0.00012630000128410757,1.5631940186722204e-13,7.359154165810706e-16,74.42890773039099,74.42890773039083,"[5, 2, 8, 1, 6, 8, 5, 0, 5, 4, 2, 3, 5, 7, 3, 3]"
17,9.21999744605273e-05,3.739999374374747e-05,112.0,0.0001551999885123223,2.400000812485814e-05,3.3534448099837653e-14,0.0010793000110425055,0.000166199984960258,2.842170943040401e-14,4.041272810440265e-16,75.979719780018,75.97971978001803,"[2, 2, 5, 8, 3, 1, 3, 2, 3, 7, 0, 5, 8, 9, 5, 7, 8]"
18,0.00010289999772794545,2.120001590810716e-05,592.0,0.00017069999012164772,2.1099986042827368e-05,2.2229764710228158e-13,0.0011924999998882413,0.00011910000466741621,1.2789769243681803e-13,5.026748538604307e-16,87.47265280988982,87.47265280988995,"[7, 7, 3, 4, 5, 4, 0, 1, 9, 3, 8, 0, 2, 6, 2, 0, 6, 7]"
19,0.00017980000120587647,5.709999823011458e-05,2208.0,0.00023150001652538776,3.609998384490609e-05,7.530597019001285e-14,0.0014724999782629311,0.000208800018299371,5.684341886080802e-14,6.13768602261588e-16,87.60173361924251,87.60173361924245,"[0, 8, 4, 8, 4, 0, 8, 6, 2, 1, 1, 8, 2, 3, 3, 9, 8, 4, 5]"
20,0.00014109999756328762,2.880001557059586e-05,33792.0,0.00023700000019744039,2.8999987989664078e-05,8.153460172381928e-15,0.0015345000138040632,0.00014710001414641738,2.842170943040401e-14,8.120581339769891e-16,93.85689927789083,93.85689927789086,"[8, 8, 1, 9, 1, 4, 8, 5, 8, 0, 7, 8, 3, 6, 1, 3, 4, 0, 7, 4]"
