Method,Matrix Size,Elapsed Time (s),Max Eigenvalue,Eigenvector,Eigenvalues,Eigenvectors,Matrix
Power Method,2,0.00011350004933774471,5.372281323269014,"[0.45743, 1.0]",,,"[[1.0, 2.0], [3.0, 4.0]]"
NumPy eig,2,0.00039229996036738157,,,"[-0.3722813232690143, 5.372281323269014]","[[-0.8245648401323938, -0.4159735579192842], [0.5657674649689923, -0.9093767091321241]]","[[1.0, 2.0], [3.0, 4.0]]"
